Number;Season;Episode;Title;Views (in mln);IMDB Rating
1;1;1;Pilot;10,23;7,30
2;1;2;Diversity Day;5,95;8,10
3;1;3;Health Care;5,83;7,60
4;1;4;The Alliance;5,26;7,80
5;1;5;Basketball;5,03;8,20
6;1;6;Hot Girl;4,83;7,50
7;2;1;The Dundies;9,00;8,60
8;2;2;Sexual Harassment;7,13;8,10
9;2;3;Office Olympics;8,27;8,20
10;2;4;The Fire;7,62;8,10
11;2;5;Halloween;8,02;7,90
12;2;6;The Fight;7,93;7,90
13;2;7;The Client;7,46;8,50
14;2;8;Performance Review;7,99;8,00
15;2;9;Email Surveillance;8,09;8,20
16;2;10;Christmas Party;9,74;8,70
17;2;11;Booze Cruise;8,73;8,50
18;2;12;The Injury;10,27;9,00
19;2;13;The Secret;8,70;8,10
20;2;14;The Carpet;8,60;7,60
21;2;15;Boys and Girls;9,21;8,00
22;2;16;Valentine’s Day;8,95;8,10
23;2;17;Dwight’s Speech;8,45;8,30
24;2;18;Tak? Your Daughter to Work Day;8,85;8,20
25;2;19;Michael’s Birthday;7,85;8,00
26;2;20;Drug Testing;7,85;8,20
27;2;21;Conflict Resolution;7,45;8,60
28;2;22;Casino Night;7,66;9,30
29;3;1;Gay Witch Hunt;9,11;8,90
30;3;2;The Convention;7,78;8,00
31;3;3;The Coup;8,89;8,40
32;3;4;Grief Counseling;8,83;7,80
33;3;5;Initiation;8,46;7,90
34;3;6;Diwali;8,81;7,70
35;3;7;Branch Closing ;8,05;8,50
36;3;8;The Merger;8,43;8,60
37;3;9;The Convict;9,07;8,20
38;3;10;A Benihana Christmas;8,44;8,60
39;3;11;A Benihana Christmas;8,44;8,60
40;3;12;Back from Vacation;8,80;8,50
41;3;13;Traveling Salesmen;10,15;8,50
42;3;14;The Return;9,32;8,70
43;3;15;Ben Franklin;10,01;7,80
44;3;16;Phyllis’ Wedding;8,84;8,00
45;3;17;Business School;8,84;8,80
46;3;18;Cocktails;8,25;8,30
47;3;19;The Negotiation;6,74;8,90
48;3;20;Safety Training;7,71;8,60
49;3;21;Product Recall;7,56;8,50
50;3;22;Women’s Appreciation;6,99;8,60
51;3;23;Beach Games;7,17;9,00
52;3;24;The Job;7,88;9,20
53;3;25;The Job;7,88;9,20
54;4;1;Fun Run;9,65;8,70
55;4;2;Fun Run;9,65;8,70
56;4;3;Dunder Mifflin Infinity;8,57;8,10
57;4;4;Dunder Mifflin Infinity;8,57;8,10
58;4;5;Launch Party;8,87;8,20
59;4;6;Launch Party;8,87;8,20
60;4;7;Money;8,61;8,50
61;4;8;Money;8,61;8,50
62;4;9;Local Ad;8,96;8,60
63;4;10;Branch Wars;8,36;8,30
64;4;11;Survivor Man;8,27;8,00
65;4;12;The Deposition;8,80;8,60
66;4;13;Dinner Party;9,33;9,40
67;4;14;Chair Model;9,86;7,80
68;4;15;Night Out;7,69;8,50
69;4;16;Did I Stutter?;7,75;8,10
70;4;17;Job Fair;7,16;7,60
71;4;18;Goodbye Toby;8,21;9,20
72;4;19;Goodbye Toby;8,21;9,20
73;5;1;Weight Loss;9,34;8,70
74;5;2;Weight Loss;9,34;8,70
75;5;3;Business Ethics;9,25;8,10
76;5;4;Baby Shower;8,28;7,80
77;5;5;Crime Aid;7,98;7,90
78;5;6;Employee Transfer;9,51;7,90
79;5;7;Customer Survey;8,55;8,40
80;5;8;BusinessTrip;8,30;8,00
81;5;9;Frame Toby;8,31;8,50
82;5;10;The Surplus;8,46;8,60
